m,w,d,wdRatio,SCcomp,SCtheor,theta1,theta2,theta3,theta4,theta5
5,18.55,53,0.35,0.826477777777778,0.635359391376191,43.8630497834245,8.26577355117098,50.203366904983,8.3161029445416,0
4,8.7,58,0.15,0.509118222222222,0.523897274573418,30.2268471465694,29.3756603234013,52.6229234031026,0,0
3,12,60,0.2,0.505081333333333,0.513777613290544,2.53786787487257,58.3775000484381,0,0,0
2,16.8,56,0.3,0.520727111111111,0.493538290724796,40.5067449843069,0,0,0,0
3,14.5,58,0.25,0.597149777777778,0.586271169820366,1.15544864484848,5.03241049697399,0,0,0
6,15.6,52,0.3,0.877880888888889,0.649230484541327,24.2094685874754,7.32123109512777,16.106329283837,15.4707702067563,19.8999143245578
2,7.65,51,0.15,0.303400888888889,0.296589653438087,53.0491834649796,0,0,0,0
2,21.6,54,0.4,0.641497333333333,0.56948126216517,2.84408772174904,0,0,0,0
3,17.4,58,0.3,0.670035111111111,0.636384387633061,32.6943538946803,41.1734077790425,0,0,0
6,2.65,53,0.05,0.267553333333333,0.306709314720961,2.77149337989287,11.7286058180279,43.2099481509915,43.3051964099578,52.6679442690916
4,3,60,0.05,0.239624,0.212170880069836,48.0223255410664,17.1568113852218,32.6197939704817,0,0
6,17.7,59,0.3,0.886408888888889,0.649230484541327,25.9956336604769,28.2374829363924,33.6428046626734,16.1454926118599,44.9411080585168
4,15.9,53,0.3,0.768868444444444,0.709948452238572,8.32347816468867,28.5343760278538,21.7475568491248,0,0
5,19.95,57,0.35,0.885253777777778,0.635359391376191,8.01023157967874,1.29335323220982,33.5904423523506,18.0491410841693,0
6,21.2,53,0.4,0.947056444444444,0.230427097370068,48.0492172170921,53.7666810859562,35.8515946090698,53.0410041434292,56.6238924717475
4,16.8,56,0.3,0.777078222222222,0.709948452238572,1.55144826498838,26.7918586970889,38.7781174410393,0,0
4,9,60,0.15,0.519198666666667,0.523897274573418,49.7719694715909,50.9451287972673,22.3520543939724,0,0
4,21,60,0.35,0.822084444444444,0.69688860103623,40.1078564616825,12.4065874761063,39.2310355237553,0,0
2,11.4,57,0.2,0.379003555555556,0.373310423217143,56.0235395727558,0,0,0,0
6,11.6,58,0.2,0.746719555555556,0.750427097370068,25.022847224566,58.3071595793576,59.2784820738499,51.8488517418722,23.3330265547457
4,5.8,58,0.1,0.375491111111111,0.386803304927642,52.9702563349831,54.8227008775811,33.4970954173365,0,0
4,5.9,59,0.1,0.367683111111111,0.386803304927642,27.0236148391269,12.3403403678378,53.9790594305449,0,0
5,21.2,53,0.4,0.902572,0.499942724709524,40.3935591871355,39.856794265083,7.36889963397155,24.4391053834088,0
3,15.9,53,0.3,0.672843111111111,0.636384387633061,53.7719314109697,49.5947335388136,0,0,0
3,11.4,57,0.2,0.512000444444444,0.513777613290544,50.0621400659963,36.5777813805439,0,0,0
4,8.25,55,0.15,0.485891555555556,0.523897274573418,42.8277349939881,53.0643027165597,43.2513402490159,0,0
2,16.2,54,0.3,0.520668444444444,0.493538290724796,26.2692107499762,0,0,0,0
2,18.55,53,0.35,0.575194222222222,0.537045388453393,14.7736868540785,0,0,0,0
3,11.2,56,0.2,0.522071111111111,0.513777613290544,33.7152092559586,23.7493337174401,0,0,0
3,14.25,57,0.25,0.598316888888889,0.586271169820366,57.0549118958976,43.3409108596499,0,0,0
4,17.85,51,0.35,0.819025333333333,0.69688860103623,3.6280063163897,5.05482313887957,9.8338990997825,0,0
3,7.5,50,0.15,0.411353333333333,0.418903718043597,32.3943056309775,5.72236155766929,0,0,0
2,17.7,59,0.3,0.503404444444444,0.493538290724796,58.4532978743228,0,0,0,0
4,22.4,56,0.4,0.867299555555556,0.646290294621859,30.9275072904195,19.840923959416,25.8001079036038,0,0
4,2.95,59,0.05,0.214594222222222,0.212170880069836,3.8780154630521,26.1710973438869,49.5977703971335,0,0
3,14.75,59,0.25,0.587879555555556,0.586271169820366,53.1741023437564,55.8666976492332,0,0,0
2,8.85,59,0.15,0.294009333333333,0.296589653438087,35.6017116231665,0,0,0,0
4,14.75,59,0.25,0.691859111111111,0.685469848228883,31.9133501695755,12.1245057929059,27.2336079408313,0,0
4,22.4,56,0.4,0.874795555555556,0.646290294621859,41.7233971150802,43.2098767210788,20.8137114172568,0,0
4,12.75,51,0.25,0.693143555555556,0.685469848228883,33.7233627337065,41.6881973465074,25.5873321426142,0,0
